text,HATE,NOT,OFFN,PRFN,Race,Religion,Gender,Other,None,subtask1
devildog put both on to a spectrum the number of radical muslims that support carrying out jihad is big the number of radical jews that support and employ the talmud is small in comparison yet their leverage in media financing academia and politics is revealing bad influence on both,0,1,0,1,0,1,0,0,0,NOT
by the number of beaners in the background i suggest not eating the food there love the shirt tho,1,0,0,1,1,0,0,0,0,HATE
you have to read the rest christ is not his last name a moslem would never confess him as christ nd best prophet ever,0,1,0,0,0,0,0,0,1,NOT
do not like trump kike connection,1,0,0,1,0,1,0,0,0,HATE
poor lois lerner fears physical violence if details of her abuse of innocent citizens is made public seems like solitary confinement is the only option,0,1,0,0,0,0,0,0,1,NOT
beat up nazis with the nymph,0,1,0,1,0,0,0,0,1,NOT
i want a taser so i can just tase this hoe,0,0,1,1,0,0,1,0,0,OFFN
how about you let people with balls do what needs to be done you are a subversive kike who does nothing but punch right and counter signal,1,0,0,1,0,1,0,0,0,HATE
they are saying there were nigger vikings for fuck sake yup jews are rewriting our history to show us that niggers have always been with us pisses me off fucking jews,1,0,0,1,1,1,0,0,0,HATE
sorry but citizens of nyc can bail out their own citizen workers federal tax money is needed to take care of illegal immigrants in detention centers,0,1,0,0,0,0,0,0,1,NOT
called some nazi an american because of his intimations about the white race a term never used in hitler writings or that of any original nazi and one with a very different meaning than aryan race and he blocked me every time,0,1,0,1,0,0,0,0,1,NOT
first impression on you negro nickname i have for you in my head negro how close we are in rating how much i like you one thing i dislike about you sometimes you are super annoying what you mean to me homie best feature feet,0,1,0,1,1,0,0,0,0,NOT
israel first we did not blow up the twin towers with thermite so that you tell us you will not take the arabs from iraq that will replace you,0,1,0,1,1,0,0,0,0,NOT
the best alt righters are all gays and jews hahahaha,0,0,1,1,0,1,1,0,0,OFFN
math algebra reason the work ethic the nuclear family all halloween costumes and all white people in general are racist so yes count me in metoo,0,1,0,1,1,0,0,0,0,NOT
wednesday beatnik poetry i live in a criminal hideout i live it through and through making burritos with my hoes i am a wetback so no shoes,1,0,0,1,1,0,1,0,0,HATE
i fucking hate you,0,1,0,1,0,0,0,0,1,NOT
how dare you oakland mayor libby schaaf and governor jerry brown put our national security at risk think that illegal immigrants are more important than american citizens put american citizens and law enforcement officers lives in danger,0,1,0,1,0,0,0,0,0,NOT
people complaining about the violence in charlottesville are ironically the same folks banging the war drums about northkorea gabfam speakfreely,0,1,0,1,0,0,0,0,1,NOT
oh and congrats on your posts as a hasbarat at gab eli btw i know what you jews think of non jews that more than enough hate for me,0,0,1,0,0,1,0,0,0,OFFN
reminder that the jews control the media,0,1,0,0,0,1,0,0,0,NOT
breaking911 verified account h24 hours ago more flashback video michigan democrat rep john conyers allegedly reading playboy magazine on a packed airplane in allegations of sexual harassment have surfaced tonight,0,1,0,1,0,0,0,1,1,NOT
two of the people i am really getting sick and tired of seeing as guests on these evening news programs are that wild eyed gook malkin and the physically retarded jew krauthammer i change the channel when they come on there are others the list is growing,1,0,0,1,1,0,0,0,0,HATE
going to be honest there are alot of retarded mother fuckers i absolutely hate,0,0,1,1,0,0,0,0,1,OFFN
sure that why sandniggers hate jews totally oh yes we should take someone who is defending the very people who gangrape european women seriously totally no islam needs to die the only good muslim is a dead muslim stop defending them or you too will be one of them,1,0,0,1,1,0,0,0,0,HATE
how do jews use the state or any organizational position of power to bully those they choose into corruption and degeneracy start with congress i understand that they take leftist sometimes anti white positions at political rallies do you have specific examples,0,0,1,1,0,1,0,0,0,OFFN
i was on the beat when i got a call in for domestic violence at a lesbian couple house when i arrived one of them said what took you so long i am sorry miss i replied i stopped at the shop to get some popcorn and baby oil,0,0,1,1,0,0,1,0,0,OFFN
my laptop freeze after freeze the ghetto,0,0,1,0,1,0,0,0,0,OFFN
yep asians here also very hi achievers tiger mom and indian students love them,0,1,0,0,1,0,0,0,0,NOT
shade never made anybody less gay but conversion therapy and homophobia have caused violent and irreversible trauma to queer people all over the world,0,1,0,1,0,0,0,0,1,NOT
whereas said asians think whites are too fussy and sensitive and need to hurry up and buy something or get out,0,1,0,1,1,0,0,0,0,NOT
did not the bundswehr have some unit that got caught doing some kind of nazi ritual i guess that why the globalists want to push trannies fags blacks and dykes in lest the soldiers realize what they are fighting for is fraudulent,1,0,0,1,1,0,1,0,0,HATE
by sexual assault you mean he raped his dog here in africa we just call it what it is these fancy words are meant to try and deodarize this uncouth basterds behaviour,0,1,0,1,0,0,0,0,1,NOT
is it going to be you you said they offered to let you be in playboy in the maybe they are not ready for a kike whose make up makes her look like a neanderthal painted up as a shemale rodeo clown,1,0,0,1,0,1,0,0,0,HATE
justin trudeau is a deeply retarded asshole canada is fucked with this idiot in charge,0,0,1,1,0,0,0,1,0,OFFN
i should have let an old man white man work on my car from the beginning instead of letting these niggers and spics play under my hood,1,0,0,1,1,0,0,0,0,HATE
nigga would not rob me if i gave them a gun,0,1,0,1,0,0,0,0,1,NOT
thornton heath croydonistan has been transformed form a nice middle class suburb into a shit hole of black gangs drug dealers moslem scum recent arrest connected to parsons green cultural enrichment has made uk hell needs to be cut out like the cancer it is,1,0,0,1,1,1,0,0,0,HATE
be proud of your heritage no nigger could ever make this kind of art and no nigger will ever come close to being half the man as general robert e lee,0,1,0,1,0,0,0,0,1,NOT
i feel you fake being in a team org you are retarded,0,0,1,1,0,0,0,0,1,OFFN
i have got more days to go on a twitter ban for pointing out that the word nigger describes an attitude and not a person that there are a great number of wonderful black people who are not defined by the term,1,0,0,1,1,0,0,0,0,HATE
i fucking hate you you are the one that causes most of my depression and makes me want to self harm or die,0,1,0,1,0,0,0,0,1,NOT
not one is squeaky clean sharlotans and schysters one big schlenter we have been raped by all the politicians not in my name,0,1,0,1,0,0,0,0,1,NOT
this is a fucking attack,0,1,0,1,0,0,0,0,1,NOT
even when queers do it only a show henry makow proves that queers are like dogs,0,0,1,1,0,0,1,0,0,OFFN
i am against the oppression of women and everything islam encompasses,0,1,0,1,0,1,0,0,0,NOT
thanks john deere black lives have not mattered for a long time super ultra nigger,1,0,0,1,1,0,0,0,0,HATE
african slave descendants mexicans ex pri socdem voters chinamen socialists and hindians socialist all vote on the same side along with queers and feminists the problem is immigration of races whose people lack protestant north sea germanic beliefs,0,1,0,1,0,0,0,0,1,NOT
sweetheart this is beautiful i want to be part of cool asians so bad,0,1,0,0,1,0,0,0,0,NOT
it was her nigger buck,1,0,0,1,1,0,0,0,0,HATE
both my ashkenazi parents took dna tests and it showed that they were both ethnically jewish my dad even found out he has some sephardi in him the other in them was north african no white in the mix there,0,1,0,1,0,0,0,0,1,NOT
last time i checked under sharia law queers are executed i always figured that was the main reasons jews hate and fear shariah law shariah law is only for muslims though how is it you are unaware of that,0,1,0,1,0,1,0,0,0,NOT
lol of coursh coz it normal to believe in perverted kike holoporn right fuck off faggot,1,0,0,1,0,1,1,0,0,HATE
i have never understood it everty moslem should have been expelled by,0,1,0,1,0,0,0,0,1,NOT
i think i followed because i am so concerned about queer theory gaining a foothold in schools we need lgb groups contributing to school policy we can not leave it to the homophobes or trans extremists,0,1,0,1,0,0,0,0,1,NOT
rich twerkin fuck with big ferrari this nigger,0,1,0,1,1,0,0,0,0,NOT
maybe we should just begin lobotomizing the str8s for being str8 give them a real chance to live the queer experience,0,0,1,1,0,0,0,0,0,OFFN
you ever see larger than life black women get angry imagine of them in their pure black bigger than life rage aimed at the pussy boys of the mainstream media they will explode in fear,0,0,1,1,1,0,0,0,0,OFFN
the best thing about roseanne kosher cuckservative fake right destroyed everyone js reminded that everyone is quietly aware that blacks are apes white normies once again have something they love ruined and taken from them by nigger bullshit nfl starbucks hero movies videogames sitcoms anti black rage builds,1,0,0,1,1,0,0,0,0,HATE
lying msm sure dropped this muzrat terrorist attack quick,1,0,0,0,0,1,0,0,0,HATE
actual science proves a child brain is not developed asking a thirteen year to make a decision consenting to sex with an adult is pure deepstate catering to islam and pedophiles,0,0,1,1,0,1,0,0,0,OFFN
poverty is the worst form of violence,0,1,0,0,0,0,0,0,1,NOT
it is no surprise as trudeau openly supports isis refugees and hamas,0,0,1,0,0,1,0,1,0,OFFN
wonder if they are up for flooding the country with jews instead of muslims bet they are not,0,0,1,0,0,1,0,0,0,OFFN
by heard you mean you made it up in your tiny kike brain take my advice and leave the trolling to the pros shlomo,1,0,0,1,0,1,0,0,0,HATE
this is the libertarian moment but it is not the one envisioned by reason magazine libertarians reserve the right to restrict access of those deemed to be undesirable i certainly do not want my black child interacting with ghetto negroes and thugs blackmiddleclassvalues,1,0,0,1,1,0,0,0,0,HATE
i am sad your a nazi splains a lot,0,1,0,1,0,0,0,0,0,NOT
this nigger belongs in africa,1,0,0,1,1,0,0,0,0,HATE
game over kike suddenly you have amnesia i would say where we met and talked i do not want to broadcast it so you have dirt on me anyways identity very confirmed hoe,1,0,0,1,0,1,0,0,0,HATE
responsibility of an immigrants son,0,1,0,0,0,0,0,1,0,NOT
this film is a retarded oscar bait whore bitch cunt nigger faggot waste of fucking time jennay is a whore,1,0,0,1,1,0,1,0,0,HATE
aight bitches who got a plug,0,1,0,1,0,0,0,0,1,NOT
fool we do not do this stuff on an everyday she was out of line for during that to them white kids just do not act like it a everyday thing with us,0,1,0,0,0,0,0,0,1,NOT
what space nigger bangs a white girl jew show are the normie roomates watching today black mirror,1,0,0,1,1,1,0,0,0,HATE
attacking the retard left is lame any way they block you for saying nices things to them,0,0,1,1,0,0,0,0,1,OFFN
if i see one more of you niggers say it cocktober,1,0,0,1,1,0,0,0,0,HATE
they are given refugee because muslim majority countries are killing them be it hindu or sikh or christian and muslims are just illegally immigrate nothing else,0,1,0,1,0,0,0,0,1,NOT
i listen to the same songs everyday i love ariana and blackpink can they and selena release new albums please,0,1,0,1,0,0,0,0,1,NOT
this toxic thinking is exactly the bullshit that is leading to the erosion of our country stand for your beliefs or live in a world of trannies faggots and muslims that hate you libertarianism is how the left tricks the right in to capitulating,1,0,0,1,0,1,1,0,0,HATE
hahahahahahahahahaha and with that the retarded coward fades into the distance screaming i really won you know i am guessing a morbidly overweight teen dressed up like an australian nightmare living with grandma,0,1,0,1,0,0,0,0,1,NOT
we should demand congress declare a national holiday when the muzzie traitor is gone um what to call it makeamericagreatagainday,1,0,0,1,0,1,0,0,0,HATE
retweet if you want to gain just follow everyone who retweets this and follow back whoever follows you,0,1,0,1,0,0,0,0,1,NOT
smoove criminal moonwalk on a hoe like michael,0,0,1,1,0,0,1,0,0,OFFN
yes so moral of story is never make the moderate muzzie posterboy for hindus he will b as much a empty vessel as any other,1,0,0,1,0,1,0,0,0,HATE
correct even non talmudic jews see it as their divine right to control every last inch of land atom of gold goy even your thoughts which they believe should be focused on how better to serve them,0,1,0,1,0,1,0,0,0,NOT
ros white girl of the month,0,1,0,0,0,0,0,0,1,NOT
man all these brown my parents will not accept my white partner stories are so wack like you know damn well it so much harder for the black partners of brown kids like i want to watch a movie or story that deals with that i am tired of white ppl,0,1,0,1,0,0,0,0,1,NOT
i fucking hate you,0,1,0,1,0,0,0,0,1,NOT
sunny day keep the muzzies at bay,1,0,0,0,0,1,0,0,0,HATE
when you been eating too many nazi cakes,0,1,0,1,0,0,0,0,0,NOT
it allowed the anglo hating pe trudeau to shove french down the throats of all canadians while qc persecuted the anglos out all while fast tracking moslem migrants from france former colonies in n africa result was the nd gen moslem terror aka the mtl massacre,0,1,0,1,0,0,0,0,1,NOT
the fact that of ypu see my tweets andjust ignore rhem is islamophobia and homophobia,0,1,0,1,0,0,0,0,1,NOT
pakistany child grooming gangs are rife in bradford keithley and leeds but police are too frightened to say anything is not it time to send the troops in and just shoot all the paki scum,1,0,0,1,0,0,0,0,0,HATE
she had no green card was an illegal alien,0,1,0,0,0,0,0,1,0,NOT
americans hate you so much they would rather vote for an illegal alien who wanted to destroy the usa as much as you did he just did not seem as dangerously stupid,0,1,0,1,0,0,0,0,1,NOT
shut up queer,1,0,0,1,0,0,1,0,0,HATE
oh i got these vegas dykes mad today,0,1,0,1,0,0,1,0,0,NOT
this is a picture of a grapeg johnson sneeze grapeg johnson,0,1,0,1,0,0,0,0,1,NOT
keyboard cat dies and the last white rhino dies as well now the white rhino is extinct due to poaching nice going poachers,0,1,0,1,0,0,0,0,1,NOT
seeing how strong the push back to pass anti sexual violence bill in the parliament i am afraid to acknowledge that either conservative forces in the parliament getting stronger or some ppl did not understand that raped is different with having sex in marriage,0,1,0,1,0,0,0,0,1,NOT
niggas ain t want support boobie now them white folks bout to bring all them stores around here build mansion off us,0,1,0,1,0,0,0,0,1,NOT
flesh queers homos have more and higher spirits are tougher and more resilient than spirit queers xtians observed truth,0,1,0,1,0,0,1,0,0,NOT
divide you are a fucking spic rapists and criminals get the fuck out beaner,1,0,0,1,1,0,0,0,0,HATE
seeing the little boy king in his final days shows just how much americans have lost the obamas and clintons do not care about america it all about power money and destroying america the immigrants refugees and drugs now pouring into america will hurt the protesters way more than mr trump,0,0,1,1,0,0,0,1,0,OFFN
anyone in your life who thinks it wrong to uncover pedophilia and provide that info to law enforcement have them babysit your kids you will find out who the real retard is,0,0,1,1,0,0,0,1,0,OFFN
she states in the video she was raped at the very start if i recall,0,1,0,1,0,0,0,0,1,NOT
this nigga is sitting across from me and keep slandering gay people,0,1,0,1,0,0,0,0,1,NOT
he was a good boy really and living around too many muslims was bad for him as he was the only white and they were racist to him blame all muslim racists,0,0,1,0,0,1,0,0,0,OFFN
breathes in nigger nigger nigger nigger nigger,1,0,0,1,1,0,0,0,0,HATE
i honestly believe europe was jealous of our niggers and decided to one up us by importing the only people even more retarded and violent than niggers muslims,1,0,0,1,1,1,0,0,0,HATE
i hate arabs jews are arabs hebrew is fucking arabic we know,1,0,0,1,1,1,0,0,0,HATE
rohingya are not indian we are one as indians no place for outsiders weather it be hindus muslims sikhs christians jews or any other religion,0,1,0,0,0,0,0,0,1,NOT
yellow kirby likes to wear women clothing,0,1,0,0,0,0,0,0,1,NOT
he also a white man whose family was killed by white supremacist nazis weird how that works,0,1,0,1,1,0,0,0,0,NOT
sometimes you want to hit the girl you like up but then you remember so many niggers already doing that then you just be like hell naah,1,0,0,1,1,0,0,0,0,HATE
his negress wife removed all of the real historical portraits in the mayor mansion replaced them with vibrant diversity,0,0,1,1,1,0,0,0,0,OFFN
president putin harassment,0,1,0,1,0,0,0,0,1,NOT
i liked kill the jews with thumbs up better,1,0,0,1,0,1,0,0,0,HATE
sand niggers that is why so many blacks are muslims,1,0,0,1,1,1,0,0,0,HATE
i never knew a jew hater until i joined gab gab is crawling with them impotent little fucks desperate to blame jews for their shitty little lives nazi wannabes hahahhahahhaahhahahhahaha friggin morons,1,0,0,1,0,1,0,0,0,HATE
it the demonazi and republicommies,0,1,0,1,0,0,0,0,0,NOT
allowing muslim rape jihadis to drive western women around in cars is a recipie for disaster see halifax,1,0,0,1,0,1,0,0,0,HATE
yet here you are being triggered like the utter faggot you are,1,0,0,1,0,0,1,0,0,HATE
all people deserve to believe in their heritage the line is crossed with violence and destruction for the only moral reason for govt to exist is the protection of rights property and person no more demonization,0,1,0,1,0,0,0,0,1,NOT
no matter how hard a nigga thinks he is they all look the same with my titties in their mouth lmao,0,1,0,1,0,0,0,0,1,NOT
get this nigger out of here,1,0,0,1,1,0,0,0,0,HATE
kill yourself o,0,0,1,1,0,0,0,0,1,OFFN
girl is pretty and she practically worships me lol do not know why i am pretty retarded,0,1,0,1,0,0,0,0,1,NOT
asshole muslims kills hindus in kashmir this is the reason why you do not deserve sympathy,1,0,0,1,0,1,0,0,0,HATE
niggas be looking crazy in a dark ass car late night pulling up on the side of women yelling at them,0,1,0,1,0,0,0,0,1,NOT
what they succeed in doing is equating mercenaries for either the ukrainian or russian side with islamic jihadists thereby transferring the perceived threat from islamists to white men,0,1,0,0,0,0,0,0,1,NOT
you want me to give up the list i created to give to you that even more ghetto,0,0,1,0,1,0,0,0,0,OFFN
crazy to be in a position where women get mad at you for not being a typical asshole,0,0,1,1,0,0,1,0,0,OFFN
bottom account on twitter how can you disrespect negro swan,1,0,0,1,1,0,0,0,0,HATE
your party blames immigrants which is a distraction from fools like you and paedo elites who poison the environment whopper,0,1,0,1,0,0,0,1,0,NOT
you had no choice hilly baby you needed him more than he needed you the only thing hillbilly bill needed a woman for was between her legs and you never,0,0,1,1,0,0,0,0,0,OFFN
about normal for this little muzrat lover anything to go against this country and the present government while he has a house in london and a six bedroomed manor house with land in the the country of shropshire nice one corbyn you scummy fake socialist,1,0,0,1,0,1,0,0,0,HATE
imagine a racialist tribe like the jews and their central hero is king of the aryans do you see how fucking stupid you are christian you do not but that why i am here to hold a mirror in front of your retarded face,0,0,1,1,0,1,0,1,0,OFFN
back on gab after another fucking coons age,1,0,0,1,1,0,0,0,0,HATE
wait what latino man who crashed into suburban mall full of white shoppers charged with terrorism,0,1,0,1,0,0,0,0,1,NOT
bitches broken heart,0,1,0,1,0,0,1,0,0,NOT
reminds me of the drowned syrian refugee child whose visual triggered a hyper emotional reaction across europe,0,1,0,1,0,0,0,0,1,NOT
they absolutely do everyone used to believe sweden was the best place in eu to go but there is not anywhere there you could pay me enough to go visit much less live most esp bc of the mudslimes socialism,1,0,0,0,0,1,0,0,0,HATE
i am atheist i will fight against islam to the death i have seen how vile muzzies are,1,0,0,1,0,1,0,0,0,HATE
the politically correct giphy picture library is lame everything is poz cuck fag related few good gun pics but easy to find video games hollywood propaganda and faggot pics like this,0,0,1,1,0,0,1,0,0,OFFN
bowl hair cut is hate numbers are hate ok sign is hate anti anti fa symbol hate antisemitism is about to mean jail time holocaust denial will soon mean jail time i did not know i was living in bolshevik russia,0,1,0,1,0,0,0,0,1,NOT
notto post an unpopular opinion but crystal reed is still one of the most beautifulwomen,0,1,0,0,0,0,0,0,1,NOT
famous for killing an immigrant,0,0,1,1,0,0,0,1,0,OFFN
i ain t even gone speak on it just know niggas ain t who they claim to be on this social media shit,0,0,1,1,1,0,0,0,0,OFFN
the only way for world peace is to get rid of all jews if you have not learned this yet just look around and see who is behind every nasty event ever after ww2 its the jews,1,0,0,1,0,1,0,0,0,HATE
you all hoes get drunk and just start being friendly with anybody like girl back up before i take your bottle then bat you down,0,0,1,1,0,0,1,0,0,OFFN
when your pussy self is worth a grammatically sound and proper editing then perhaps you will get to read without using your little brain to decipher i really do not have to impress a little kike minded subversive like yourself peace tho trumpowitz so ironical ironybro faggot,1,0,0,1,0,1,0,0,0,HATE
how many jews does it take to change a light bulb in a shower block none they are not falling for that one again,0,0,1,1,0,1,0,0,0,OFFN
ino the type of bad bitch who would smack sasuke randomly,0,1,0,1,0,0,0,0,1,NOT
trump containing silence on the sa genocide and his grovelling for israhell tells us who this guy really is and who he works for trump is a traitorous pig along with his filthy kike first bitch nin nuke israhell now,1,0,0,1,0,1,1,0,0,HATE
being anti sjw far left feminazi is not the same as being a anti lbbt or sexist ellie being lgbt bothers insecure homophobes sexists or platform shill slaves downplaying the game hint look at the ppl who called kait a badass in gears5 but have a problem with ellie,0,1,0,1,0,0,0,0,1,NOT
just how many niggers has david duke defeated in a knife fight did heimbach show you all the bullet holes that niggers have put in him and have many times has spencer been ass raped by a nigger and no you can not count the times money was exchanged beforehand mpcstatusupdates,1,0,0,1,1,0,0,0,0,HATE
the nerve of jews they think poland is us senate to execute all their demands lol withjewsyoulose,1,0,0,0,0,1,0,0,0,HATE
microchip admits to being a kike so his antipathy to christianity is basically genetic,1,0,0,1,0,1,0,0,0,HATE
there can be no world peace until the last muslim has been removed from the earth,1,0,0,0,0,1,0,0,0,HATE
from being killed by nazis to becoming nazis,0,0,1,1,0,0,0,0,0,OFFN
and luiz still had at least two retard moments that could ve led to a goal,0,0,1,1,0,0,0,1,0,OFFN
i remember that but did not know he was a kike,1,0,0,1,0,1,0,0,0,HATE
amen its not a lack of whiteness that the problem it anti whiteness that is the real issue i have plenty of non white allies and plenty of white enemies,0,1,0,0,1,0,0,0,0,NOT
nigger lovers end up knocked up or beat up,1,0,0,1,1,0,0,0,0,HATE
aye this nigga hella funny,0,1,0,1,1,0,0,0,0,NOT
whoever took good news off soundcloud your mom is a fucking hoe,0,0,1,1,0,0,1,0,0,OFFN
jews have alot to answer for including the creation of fake sand nigger religions like christianity islam responsible for genociding millions of white,1,0,0,1,1,1,0,0,0,HATE
most uncomfortable with trump kike connection hell his grandchildren are jews not good,1,0,0,1,0,1,0,0,0,HATE
you claim to be sucht a good christian so why you cofound gab whit a muslim brotherhood,0,0,1,1,0,1,0,0,0,OFFN
this communist bitch has to go she should not be teaching middle school or any school for that matter she a danger to freedom and to society outantifa,1,0,0,1,0,0,1,0,0,HATE
i agree with you it all boils down to girl woman upbringing but point is that only a white man would do something like this not beaner or nigger or whichever other species of coloreds,1,0,0,1,1,0,0,0,0,HATE
another low for the new york daily news promoting dishonest claim that trump called immigrants animals bit ly fakenews ivacnl maga maga2018 tcot nodaca nodreamers noamnesty nochainimmigration buildthewall actually trump insulted animals by comparing them to ms,0,1,0,1,0,0,0,0,1,NOT
the jews and muslims grew up together and the jews gave birth to christianity catholicism and later on mormonism like a big religion family,0,1,0,1,0,1,0,0,0,NOT
maxine waters a us congresswoman openly called for threats harassment and assault on trump supporters sometime ago months ago how is this legal for a congresswoman to say this,0,1,0,1,0,0,0,0,1,NOT
via the same avenue it was all taken away are you a retard do you understand how political process works do you know women are majority of voters jesus fuck just how deluded are you,0,0,1,1,0,0,0,0,1,OFFN
do you have some examples stuff i hear is all over the place that he emphasizing more immigrants here softening,0,1,0,0,0,0,0,1,0,NOT
i agree it is a very high chance this is a white person saying it,0,1,0,0,0,0,0,0,1,NOT
of women are raped on college campuses okay so why do we send women to college maybe we should have gender segregated colleges the fact that feminists are not pushing for this proves that they actually do not care about being raped or they are too stupid to protect themselves feminism maga,1,0,0,1,0,0,1,0,0,HATE
rohingias are not refugees they are illegal infiltrators and a serious security threat,0,0,1,0,0,0,0,1,0,OFFN
trump is not a kike he a shabbos goy who works nonstop for the promotion of israel first policies go re in your ghetto forums,1,0,0,1,0,1,0,0,0,HATE
fucking hate white people,1,0,0,1,1,0,0,0,0,HATE
the kike code is the death of white western civilization,1,0,0,1,0,1,0,0,0,HATE
maga supremacy is wrong whether its globalist jewish supremacy or white supremacy it antichristian and thus born to fail evil always ends up losing to the good side,0,0,1,0,0,1,0,0,0,OFFN
another benefit of multiculturism this is a typical moslem defense when accused of rape since they consider women haram as is they are demons that trick them into raping them,0,1,0,1,0,0,0,0,1,NOT
getting paid biweekly is so ghetto,0,1,0,0,0,0,0,0,0,NOT
suspected illegal alien,0,1,0,0,0,0,0,0,1,NOT
the thing about that quote though socialism was doing ok among americans including white christian salt of the earth americans but then mccarthyism happened it more complex of course but socialism did not just happen to be innately unattractive,0,1,0,1,0,0,0,0,1,NOT
what about kahmiri hindu pandit when this kashmiri muslim genocide in milion hindu pandit migrant still spend their life as refugee hindu pandit kill many woman rapped by kashmiri muslim,0,1,0,1,0,0,0,0,1,NOT
your the biggest faggot if you do not like sports,0,0,1,1,0,0,1,0,0,OFFN
what is ppl views on paki men muslim men rapping white uk girls,0,0,1,1,0,0,0,0,0,OFFN
look mommie a nice intelligent man is owning a hateful retarded troll,0,0,1,1,0,0,0,0,1,OFFN
well i guess the anti whiteness is probably a lot more blunt today the jews and their revolutionary minorities,0,0,1,0,0,1,0,0,0,OFFN
are not nothin like a ride or die bitch she come thru and throw the up love to fuck she even roll the piffy up,0,0,1,1,0,0,1,0,0,OFFN
well i married a cute french girl years ago i bought some land with an old barn on it and restored it over the time of almost years or so for the land in that timelapse the muslim population in marseille raised from to,0,0,1,1,0,1,0,0,0,OFFN
famous saying i felt sorry for myself because i had ragged shoes until i met a man who had no feet showgratitude,0,1,0,1,0,0,0,0,1,NOT
zayn is a fucking god,0,1,0,1,0,0,0,0,1,NOT
got to forgive these women lord they know not how to drive so how can we expect them to know how to use the internet,0,1,0,1,0,0,1,0,0,NOT
how much longer will the west continue to put up with all of this shit from retarded third worlders and liberal cucks before we revert to a frontier mentality and just start the real violence,0,1,0,1,0,0,0,0,1,NOT
finally trump my man calling out both retarded sides,0,0,1,1,0,0,0,1,0,OFFN
these are the refugees that europe should be taking in,0,1,0,1,0,0,0,0,1,NOT
i fucking hate lean in it puts the whole burden on the women to fix the system and take one for the sisterhood that is wrong hr tech conf,0,1,0,1,0,0,0,0,1,NOT
sand niggers are always inter breeding either with themselves or their cousins the goats,1,0,0,1,1,1,0,0,0,HATE
kill yourself nigger fucker,1,0,0,1,1,0,0,0,0,HATE
okay that shower scene was pure gay energy there is literally no heterosexual explanation for this harringrove stranger things,0,1,0,1,0,0,0,0,1,NOT
how do we instigate a war between japan and israel shinzo abe did not like the shoe desert the kike served him,1,0,0,1,0,1,0,0,0,HATE
i kike the idea of an uncensored social media app but why no iphone app why is not there more advertising there also needs to be something more unique about it other than free speech,0,1,0,1,0,0,0,0,1,NOT
fuck them both kill sandniggers kill jews what is the issue islam will be resorted to a pile of shit pic related its islam and those who defend it and yes that is a steaming pile of horse shit,1,0,0,1,1,1,0,0,0,HATE
when referencing mass murders by neo nazis kk white supremacists i humbly request include churches synagogues mosques and gurdwaras oakcreek wi sikh americans also experience more hate crimes since violence,0,1,0,1,0,0,0,0,1,NOT
thought she was a pretty rickey bitch but she like yo gotti,0,1,0,1,0,0,0,0,1,NOT
as a tourist in old town in krakow poland i see lots of whites some asians no black or muslims lots of talk about jews though,0,1,0,1,1,1,0,0,0,NOT
i am not gay or a sailor fine to that but i do badly want to be the ship queer,0,1,0,1,0,0,1,0,0,NOT
while the blue checkmark brigade has a meltdown about calling illegal immigrants animals and says this actually describes every non white immigrant once again the left is better at racism than the far right let look at israel,0,0,1,1,0,0,0,1,0,OFFN
damn thoes legs,0,1,0,1,0,0,0,0,1,NOT
